epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,106.301,1.61778,2.5491,0.01744,0.74689,0.75112,0.80079,0.45155,1.41266,1.67146,0.0254,0.00066242,0.00066242,0.00066242
2,210.852,1.50062,2.10438,0.01735,0.69553,0.71973,0.74147,0.49005,1.21137,1.7175,0.02353,0.00132876,0.00132876,0.00132876
3,316.111,1.54764,1.79488,0.01871,0.79658,0.76457,0.83836,0.4729,1.73158,1.24656,0.04314,0.0019938,0.0019938,0.0019938
4,420.118,1.56008,1.78069,0.02181,0.84533,0.78475,0.87482,0.54149,1.37115,1.18114,0.02711,0.00199561,0.00199561,0.00199561
5,527.448,1.59216,1.66629,0.02211,0.82276,0.68694,0.81477,0.48508,1.5307,1.44675,0.03388,0.00199219,0.00199219,0.00199219
6,639.097,1.6317,1.83652,0.02085,0.77927,0.82287,0.87522,0.44411,1.64318,1.54582,0.02834,0.00198781,0.00198781,0.00198781
7,745.171,1.70612,1.60444,0.01998,0.72272,0.76233,0.78578,0.46508,1.57233,1.18913,0.03081,0.00198246,0.00198246,0.00198246
8,856.797,1.59821,1.44621,0.01912,0.82262,0.81614,0.88294,0.51781,1.53135,1.32485,0.03059,0.00197616,0.00197616,0.00197616
9,970.249,1.56347,1.30862,0.01836,0.74887,0.69058,0.77772,0.4633,1.54562,1.30395,0.03154,0.0019689,0.0019689,0.0019689
10,1077.31,1.53633,1.38287,0.01875,0.84193,0.78924,0.87495,0.55226,1.74132,1.26632,0.04003,0.00196069,0.00196069,0.00196069
11,1184.01,1.49546,1.34567,0.01744,0.81953,0.81839,0.885,0.57045,1.21587,1.12973,0.02384,0.00195155,0.00195155,0.00195155
12,1291.36,1.36611,1.16293,0.01552,0.83283,0.82735,0.89216,0.58706,1.17484,1.0804,0.02556,0.00194147,0.00194147,0.00194147
13,1397.87,1.51923,1.32787,0.01871,0.76108,0.77803,0.82359,0.53869,1.21826,1.56336,0.02101,0.00193048,0.00193048,0.00193048
14,1505.34,1.42433,1.23856,0.01737,0.76863,0.76906,0.83267,0.54468,1.12628,0.95908,0.02009,0.00191858,0.00191858,0.00191858
15,1617.07,1.40148,1.20864,0.01641,0.8234,0.84677,0.89402,0.58807,1.12465,1.18591,0.01762,0.00190578,0.00190578,0.00190578
16,1728.89,1.38021,1.12256,0.01656,0.77067,0.72646,0.80921,0.52552,1.20561,1.2903,0.02479,0.0018921,0.0018921,0.0018921
17,1842.01,1.40859,1.09976,0.01732,0.81285,0.76457,0.84706,0.52208,1.17774,1.2687,0.02154,0.00187754,0.00187754,0.00187754
18,1956.16,1.36262,1.0301,0.01442,0.79744,0.8209,0.8656,0.5744,1.1613,0.93458,0.02059,0.00186213,0.00186213,0.00186213
19,2081.19,1.30322,1.02205,0.01629,0.82934,0.84753,0.88576,0.58183,1.24254,0.87485,0.0244,0.00184588,0.00184588,0.00184588
20,2200.64,1.39157,1.03128,0.01629,0.82236,0.81999,0.87729,0.5718,1.22938,1.01496,0.026,0.00182881,0.00182881,0.00182881
21,2311.68,1.2768,0.93396,0.0159,0.83607,0.78475,0.87733,0.61794,1.03103,1.06047,0.01773,0.00181093,0.00181093,0.00181093
22,2422.2,1.3542,1.01753,0.01724,0.83407,0.89013,0.92678,0.61554,1.31553,1.11681,0.02498,0.00179225,0.00179225,0.00179225
23,2530.24,1.36222,1.02056,0.01799,0.86739,0.84753,0.9222,0.62456,1.11649,0.81532,0.02131,0.00177281,0.00177281,0.00177281
24,2636.79,1.2998,0.93294,0.01728,0.76175,0.80942,0.8585,0.57586,1.04004,0.97648,0.01874,0.00175261,0.00175261,0.00175261
25,2752.68,1.31556,0.93421,0.01341,0.82445,0.85294,0.9103,0.63841,1.00711,0.89424,0.01874,0.00173168,0.00173168,0.00173168
26,2864.63,1.33771,0.98389,0.01542,0.89019,0.83607,0.92449,0.64673,1.09378,0.77983,0.0204,0.00171004,0.00171004,0.00171004
27,2977.64,1.25368,1.03628,0.01522,0.85401,0.84081,0.91522,0.65049,0.85949,0.83603,0.01389,0.0016877,0.0016877,0.0016877
28,3084.43,1.27917,0.94488,0.01487,0.87802,0.80699,0.88887,0.63018,0.93698,0.86107,0.01487,0.0016647,0.0016647,0.0016647
